frame,speed_mps,dist_m,total_dist_m
607,6.03,0.17,49.35
608,4.74,0.23,49.57
609,3.87,0.08,49.66
610,2.02,0.08,49.74
611,2.75,0.04,49.78
612,2.39,0.15,49.93
613,2.72,0.05,49.98
614,1.31,0.07,50.05
615,1.84,0.01,50.06
616,1.52,0.1,50.16
617,1.62,0.04,50.2
618,1.83,0.02,50.22
619,3.33,0.12,50.34
620,3.92,0.19,50.53
621,3.48,0.08,50.62
622,2.94,0.07,50.69
623,3.66,0.14,50.83
624,5.07,0.15,50.98
625,6.26,0.22,51.2
626,5.67,0.25,51.45
627,4.65,0.1,51.55
628,2.66,0.11,51.66
629,2.14,0.06,51.72
630,1.59,0.04,51.76
631,1.41,0.06,51.82
632,1.35,0.04,51.86
633,1.12,0.04,51.9
634,1.64,0.04,51.93
635,1.8,0.09,52.02
636,2.63,0.05,52.08
637,2.36,0.12,52.2
638,2.26,0.06,52.26
639,1.31,0.04,52.3
640,1.29,0.03,52.33
641,1.12,0.06,52.39
642,1.26,0.03,52.42
643,1.23,0.04,52.45
644,1.55,0.06,52.51
645,2.49,0.06,52.57
646,3.27,0.13,52.7
647,4.26,0.14,52.84
648,4.11,0.16,53.0
649,4.18,0.12,53.12
650,3.04,0.14,53.26
651,2.36,0.04,53.3
652,1.66,0.05,53.35
653,1.64,0.07,53.42
654,1.65,0.04,53.46
655,1.32,0.05,53.52
656,1.16,0.04,53.56
657,0.76,0.02,53.58
658,1.01,0.01,53.59
659,1.58,0.06,53.66
660,2.19,0.08,53.74
661,2.36,0.07,53.81
662,1.8,0.08,53.89
663,2.12,0.02,53.92
664,2.55,0.11,54.02
665,2.94,0.12,54.15
666,2.78,0.06,54.21
667,2.26,0.09,54.3
668,1.87,0.07,54.37
669,1.66,0.03,54.4
670,1.59,0.07,54.47
671,1.98,0.06,54.53
672,1.84,0.06,54.6
673,2.24,0.06,54.65
674,2.0,0.1,54.76
675,1.86,0.04,54.8
676,1.04,0.04,54.84
677,1.23,0.02,54.86
678,1.3,0.06,54.92
679,1.42,0.05,54.97
680,1.06,0.04,55.0
681,0.87,0.02,55.03
682,0.73,0.03,55.06
683,0.98,0.02,55.08
684,0.91,0.05,55.12
685,1.13,0.02,55.15
686,0.87,0.04,55.19
687,0.72,0.02,55.21
688,0.49,0.01,55.22
689,0.76,0.02,55.24
690,0.99,0.05,55.29
691,1.04,0.03,55.32
692,0.63,0.03,55.34
693,0.97,0.01,55.35
694,0.78,0.06,55.41
695,1.14,0.01,55.42
696,1.09,0.04,55.46
697,1.67,0.06,55.52
698,1.52,0.07,55.59
699,1.81,0.03,55.61
700,1.95,0.09,55.7
701,2.46,0.08,55.78
702,2.86,0.08,55.86
703,3.12,0.13,55.99
704,2.61,0.11,56.09
705,3.03,0.03,56.12
706,2.93,0.17,56.29
707,3.62,0.1,56.39
708,3.12,0.1,56.48
709,3.24,0.12,56.6
710,2.69,0.11,56.71
711,1.95,0.04,56.75
712,2.12,0.05,56.8
713,2.84,0.13,56.92
714,3.8,0.11,57.04
715,4.94,0.14,57.18
716,4.49,0.24,57.42
717,6.02,0.07,57.49
718,5.5,0.3,57.78
719,9.07,0.19,57.97
720,10.05,0.43,58.39
721,10.69,0.39,58.79
722,7.38,0.25,59.04
723,3.71,0.09,59.13
724,1.54,0.03,59.16
725,1.2,0.03,59.19
726,1.5,0.06,59.25
727,1.75,0.06,59.31
728,1.34,0.06,59.37
729,0.98,0.02,59.38
730,0.66,0.02,59.4
731,1.03,0.03,59.43
732,0.83,0.06,59.49
733,0.97,0.0,59.49
734,0.59,0.04,59.53
735,1.36,0.02,59.55
736,1.97,0.08,59.62
737,2.95,0.1,59.72
738,3.36,0.12,59.84
739,4.02,0.12,59.96
740,3.44,0.17,60.13
741,3.4,0.06,60.19
742,3.11,0.11,60.3
743,3.58,0.14,60.44
744,3.56,0.11,60.54
745,3.34,0.11,60.66
746,2.68,0.12,60.77
747,4.08,0.04,60.81
748,4.71,0.25,61.06
749,5.86,0.18,61.24
750,4.93,0.16,61.4
751,4.7,0.16,61.56
752,3.7,0.16,61.71
753,2.92,0.05,61.77
754,2.28,0.08,61.85
755,2.6,0.09,61.94
756,2.65,0.09,62.03
757,2.65,0.09,62.11
758,2.19,0.09,62.21
759,1.93,0.04,62.25
760,1.83,0.06,62.31
761,2.26,0.08,62.39
762,2.21,0.08,62.47
763,2.09,0.06,62.53
764,1.52,0.07,62.6
765,1.5,0.03,62.62
766,1.33,0.05,62.68
767,1.68,0.05,62.73
768,3.34,0.06,62.79
769,3.68,0.22,63.01
770,3.52,0.09,63.1
771,2.44,0.04,63.14
772,2.51,0.11,63.25
773,2.99,0.1,63.35
774,2.22,0.09,63.44
775,1.58,0.04,63.48
776,0.93,0.03,63.51
777,0.81,0.03,63.53
778,0.73,0.02,63.56
779,0.7,0.02,63.58
780,0.53,0.02,63.6
781,0.53,0.01,63.61
782,0.57,0.02,63.63
783,0.85,0.03,63.66
784,0.7,0.04,63.7
785,0.97,0.01,63.7
786,1.09,0.05,63.76
787,1.91,0.05,63.81
788,1.37,0.09,63.89
789,2.07,0.0,63.89
790,1.93,0.12,64.01
791,3.7,0.08,64.09
792,3.84,0.18,64.27
793,3.52,0.13,64.4
794,1.97,0.04,64.44
795,0.87,0.02,64.46
796,0.88,0.02,64.48
797,0.65,0.04,64.53
798,0.88,0.0,64.53
799,0.66,0.04,64.57
800,0.73,0.02,64.59
801,0.63,0.01,64.6
802,1.24,0.04,64.64
803,2.24,0.08,64.72
804,3.57,0.11,64.82
805,4.02,0.17,64.99
806,3.16,0.13,65.12
807,2.31,0.02,65.14
808,1.34,0.08,65.22
809,1.54,0.03,65.25
810,1.14,0.04,65.29
811,2.66,0.04,65.34
812,2.69,0.18,65.52
813,3.9,0.04,65.56
814,3.38,0.16,65.73
815,5.0,0.13,65.86
816,4.62,0.21,66.06
817,4.42,0.13,66.19
818,2.55,0.11,66.3
819,2.15,0.02,66.32
820,1.81,0.09,66.41
821,2.0,0.08,66.48
822,1.4,0.04,66.52
823,1.22,0.03,66.55
824,1.12,0.06,66.6
825,1.53,0.03,66.63
826,1.74,0.07,66.7
827,2.72,0.08,66.78
829,2.51,0.13,66.9
830,2.0,0.05,66.95
831,0.8,0.03,66.98
832,0.73,0.01,66.98
833,1.25,0.04,67.02
834,2.15,0.08,67.1
835,2.53,0.1,67.2
836,1.93,0.08,67.27
837,1.17,0.02,67.29
838,0.6,0.02,67.31
839,0.99,0.02,67.33
840,1.36,0.06,67.39
841,1.75,0.06,67.45
842,1.36,0.06,67.51
843,1.57,0.02,67.53
844,2.36,0.08,67.61
845,3.26,0.14,67.75
846,4.2,0.11,67.86
847,4.9,0.17,68.03
848,4.44,0.21,68.24
849,3.35,0.06,68.3
850,1.8,0.06,68.36
851,1.99,0.05,68.42
852,2.22,0.08,68.5
853,2.59,0.09,68.58
854,2.0,0.09,68.67
855,1.58,0.02,68.7
856,0.96,0.04,68.74
857,1.34,0.03,68.77
858,2.52,0.06,68.83
859,4.1,0.16,68.99
860,4.38,0.19,69.18
861,3.36,0.09,69.27
862,2.91,0.06,69.33
863,3.21,0.14,69.47
864,3.17,0.12,69.59
865,2.29,0.06,69.65
866,1.17,0.05,69.7
867,1.08,0.01,69.71
868,1.12,0.05,69.75
869,1.49,0.06,69.81
870,1.33,0.04,69.86
871,2.6,0.03,69.89
872,2.83,0.18,70.07
873,2.87,0.07,70.14
874,1.26,0.04,70.17
875,1.26,0.02,70.2
876,2.04,0.07,70.27
877,2.95,0.11,70.38
878,2.92,0.11,70.49
879,2.6,0.06,70.56
880,2.56,0.08,70.64
881,2.61,0.11,70.75
882,2.99,0.07,70.82
883,2.43,0.12,70.94
884,1.95,0.05,70.99
885,1.67,0.02,71.01
886,3.21,0.09,71.1
887,4.83,0.21,71.31
888,4.97,0.18,71.5
889,4.12,0.1,71.6
890,2.7,0.12,71.73
891,2.54,0.04,71.77
892,1.75,0.09,71.86
893,1.96,0.04,71.9
894,1.85,0.06,71.96
895,2.23,0.08,72.04
896,1.93,0.08,72.12
897,1.76,0.03,72.16
898,1.6,0.06,72.22
899,2.2,0.07,72.28
900,3.02,0.09,72.38
901,3.32,0.14,72.52
902,2.66,0.1,72.62
903,1.91,0.03,72.64
904,1.57,0.07,72.71
905,2.08,0.06,72.77
906,2.02,0.08,72.85
907,1.6,0.06,72.91
